epoch,price,ar,treasury,sr,cip,vrp,staked
0,0.1,5000000.0,2500000.0,0.1047,0.0,0.0,0.0
1,0.10248422610434439,5583333.333333333,2295825.3079865985,0.08304364567691126,0.0,0.0,0.0
2,0.10229181697601303,5625000.0,2447858.641319932,0.0830281991036452,0.0,0.0,0.0
3,0.10206102305944897,5666666.666666667,2599891.9746532654,0.08294457811824231,0.0,0.0,0.0
4,0.1017872872383734,5707090.379770033,2751971.1704424648,0.08286357088674418,0.0,0.0,8.305213268972498
5,0.10147964176904171,5746273.556159522,2904123.45009496,0.0827830092392613,0.0,0.0,28.704236307343354
6,0.1011428783157419,6284184.470259271,2660536.348573975,0.083461168153752,0.0,0.0,63.57943688175169
7,0.1007808137216587,6320852.082730976,2917058.6904186066,0.08331756991601927,0.0,0.0,114.30902116946041
8,0.10041582656580794,6357528.088122705,3173657.4484975743,0.0831776879156378,0.0,0.0,173.55488802572202
9,0.10004920539059131,6394212.162142828,3430316.538440331,0.08304321077573101,0.0,0.0,238.27156692406737
10,0.10509355768178599,6430903.999019896,3679241.4752325676,0.0829138298266549,0.0,0.0,306.86236048866465
11,0.1046957201407107,6467596.063297291,3935994.678318011,0.08291003982119204,0.0,0.0,378.37122515274666
12,0.10429838899510045,6504295.736681646,4199730.500526848,0.0827832213718784,0.0,0.0,452.076315705355
13,0.10390123480620264,7040959.790943297,3963501.584954145,0.08337687341693385,0.0,0.0,527.6974286290426
14,0.10350530899352167,7077631.687614035,4227303.845343965,0.08324616659882418,0.0,0.0,604.7125193566189
15,0.10311084368487783,7114311.147619329,4491134.059057624,0.08312011102287875,0.0,0.0,682.7559780107115
16,0.10271801701129302,7150997.906521129,4754989.59153447,0.08299846274778376,0.0,0.0,754.974470178287
17,0.1023269652268362,7187691.713670505,5018871.187504111,0.0828809919548537,0.0,0.0,818.6368539306939
18,0.10193779184688373,7224392.331168332,5282779.537733778,0.08276748614733911,0.0,0.0,872.016543110118
