epoch,price,ar,treasury,sr,cip,vrp,staked
0,0.1,5000000.0,2500000.0,0.1047,0.0,0.0,0.0
1,0.0998802876052971,5583333.333333333,2297866.6666666665,0.1047,0.0,0.0,0.0
2,0.09969515796288736,5625000.0,2449900.0,0.1047,0.0,0.0,0.0
3,0.09947308696453902,5666666.666666667,2601933.3333333335,0.1047,0.0,0.0,0.0
4,0.09920451387578745,5706762.833333334,2754024.6149191717,0.1047,0.0,0.0,0.0
5,0.09889815698478892,5745288.500000002,2906213.330285248,0.1047,0.0,0.0,0.0
6,0.09855920327915473,6282243.66666667,2662695.9584005615,0.1047,0.0,0.0,0.0
7,0.09819095888739422,6317628.333333337,2919329.710542054,0.1047,0.0,0.0,0.0
8,0.09781996884475558,6353013.000000004,3176076.5296411077,0.1047,0.0,0.0,0.0
9,0.09744748023608747,6388397.666666671,3432913.9510156135,0.1047,0.0,0.0,0.0
10,0.09707436614877692,6423782.333333337,3689827.0024823267,0.1047,0.0,0.0,0.0
11,0.09670126019128625,6459167.000000004,3946804.921242974,0.1047,0.0,0.0,0.0
12,0.09632863434425243,6994551.666666671,3710783.970675842,0.1047,0.0,0.0,0.0
13,0.09595684638884548,7029936.333333339,3974813.2268428924,0.1047,0.0,0.0,0.0
14,0.09558617042545975,7065321.000000006,4238887.403707421,0.1047,0.0,0.0,0.0
15,0.09521681756683426,7100705.666666673,4503002.0964855775,0.1047,0.0,0.0,0.0
16,0.09484895061755301,7136090.333333339,4767153.577617423,0.1047,0.0,0.0,0.0
17,0.09448269486562406,7671475.0000000065,4531338.655489408,0.1047,0.0,0.0,0.0
18,0.09411814622642052,7706859.666666673,4795554.571591142,0.1047,0.0,0.0,0.0
19,0.09375537750164538,7742244.33333334,5059798.922610572,0.1047,0.0,0.0,0.0
20,0.09338538605237659,7777000.800000005,5324090.843950934,0.1047,0.0,0.0,0.0
21,0.09301737492646622,7811757.266666672,5588423.027604799,0.1047,0.0,0.0,0.0
22,0.09265137167964906,7846513.733333339,5852790.317084894,0.1047,0.0,0.0,0.0
23,0.09229657075272549,8381918.031250006,5617167.001775623,0.1047,0.0,0.0,0.0
24,0.09195282572085836,8417970.160416672,5881533.810452916,0.1047,0.0,0.0,0.0
